IDProdDate,Date,Print,PrDateSxolia
1398,"04/24/09 00:00:00",0,
1399,"04/25/09 00:00:00",0,
1400,"04/27/09 00:00:00",0,
1401,"04/28/09 00:00:00",0,
1402,"04/29/09 00:00:00",0,
1403,"04/30/09 00:00:00",0,
1404,"05/02/09 00:00:00",0,
1405,"05/04/09 00:00:00",0,
1406,"05/05/09 00:00:00",0,
1407,"05/06/09 00:00:00",0,
1408,"05/07/09 00:00:00",0,
1409,"05/08/09 00:00:00",0,
1410,"05/09/09 00:00:00",0,
1411,"05/11/09 00:00:00",0,
1412,"05/12/09 00:00:00",0,
1413,"05/13/09 00:00:00",0,
1414,"05/14/09 00:00:00",0,
1415,"05/15/09 00:00:00",0,
1416,"05/16/09 00:00:00",0,
1417,"05/18/09 00:00:00",0,
1418,"05/19/09 00:00:00",0,
1419,"05/20/09 00:00:00",0,
1420,"05/21/09 00:00:00",0,
1421,"05/22/09 00:00:00",0,
1422,"05/23/09 00:00:00",0,
1423,"05/25/09 00:00:00",0,
1424,"05/26/09 00:00:00",0,
1425,"05/27/09 00:00:00",0,
1426,"05/28/09 00:00:00",0,
1427,"05/29/09 00:00:00",0,
1428,"05/30/09 00:00:00",0,
1429,"06/01/09 00:00:00",0,
1430,"06/02/09 00:00:00",0,
1431,"06/03/09 00:00:00",0,
1432,"06/04/09 00:00:00",0,
1433,"06/05/09 00:00:00",0,
1434,"06/06/09 00:00:00",0,
1435,"06/09/09 00:00:00",0,
1436,"06/10/09 00:00:00",0,
1437,"06/11/09 00:00:00",0,
1438,"06/12/09 00:00:00",0,
1439,"06/13/09 00:00:00",0,
1440,"06/15/09 00:00:00",0,
1441,"06/16/09 00:00:00",0,
1442,"06/17/09 00:00:00",0,
1443,"06/18/09 00:00:00",0,
1444,"06/19/09 00:00:00",0,
1445,"06/20/09 00:00:00",0,
1446,"06/22/09 00:00:00",0,
1447,"06/23/09 00:00:00",0,
1448,"06/24/09 00:00:00",0,
1449,"06/25/09 00:00:00",0,
1450,"06/26/09 00:00:00",0,
1451,"06/27/09 00:00:00",0,
1452,"06/29/09 00:00:00",0,
1453,"06/30/09 00:00:00",0,
1454,"07/01/09 00:00:00",0,
1455,"07/02/09 00:00:00",0,
1456,"07/03/09 00:00:00",0,
1457,"07/04/09 00:00:00",0,
1458,"07/06/09 00:00:00",0,
1459,"07/07/09 00:00:00",0,
1460,"07/08/09 00:00:00",0,
1461,"07/09/09 00:00:00",0,
1462,"07/10/09 00:00:00",0,
1463,"07/11/09 00:00:00",0,
1464,"07/13/09 00:00:00",0,
1465,"07/14/09 00:00:00",0,
1466,"07/15/09 00:00:00",0,
1467,"07/16/09 00:00:00",0,
1468,"07/17/09 00:00:00",0,
1469,"07/18/09 00:00:00",0,
1470,"07/20/09 00:00:00",0,
1471,"07/21/09 00:00:00",0,
1472,"07/22/09 00:00:00",0,
1473,"07/23/09 00:00:00",0,
1474,"07/24/09 00:00:00",0,
1475,"07/25/09 00:00:00",0,
1476,"07/27/09 00:00:00",0,
1477,"07/28/09 00:00:00",0,
1478,"07/29/09 00:00:00",0,
1479,"07/30/09 00:00:00",0,
1480,"07/31/09 00:00:00",0,
1481,"08/01/09 00:00:00",0,
1482,"08/03/09 00:00:00",0,
1483,"08/04/09 00:00:00",0,
1484,"08/05/09 00:00:00",0,
1485,"08/06/09 00:00:00",0,
1486,"08/07/09 00:00:00",0,
1487,"08/08/09 00:00:00",0,
1488,"08/10/09 00:00:00",0,
1489,"08/11/09 00:00:00",0,
1490,"08/12/09 00:00:00",0,
1491,"08/13/09 00:00:00",0,
1492,"08/14/09 00:00:00",0,
1493,"08/17/09 00:00:00",0,
1494,"08/18/09 00:00:00",0,
1495,"08/19/09 00:00:00",0,
1496,"08/20/09 00:00:00",0,
1497,"08/21/09 00:00:00",0,
1498,"08/22/09 00:00:00",0,
1499,"08/24/09 00:00:00",0,
1500,"08/25/09 00:00:00",0,
1501,"08/26/09 00:00:00",0,
1502,"08/27/09 00:00:00",0,
1503,"08/28/09 00:00:00",0,
1504,"08/29/09 00:00:00",0,
1505,"08/31/09 00:00:00",0,
1506,"09/01/09 00:00:00",0,
1507,"09/02/09 00:00:00",0,
1508,"09/03/09 00:00:00",0,
1509,"09/04/09 00:00:00",0,
1510,"09/05/09 00:00:00",0,
1511,"09/07/09 00:00:00",0,
1512,"09/08/09 00:00:00",0,
1513,"09/10/09 00:00:00",0,
1514,"09/11/09 00:00:00",0,
1515,"09/12/09 00:00:00",0,
1516,"09/14/09 00:00:00",0,
1517,"09/15/09 00:00:00",0,
1518,"09/16/09 00:00:00",0,
1519,"09/17/09 00:00:00",0,
1520,"09/18/09 00:00:00",0,
1521,"09/19/09 00:00:00",0,
1522,"09/21/09 00:00:00",0,
1523,"09/22/09 00:00:00",0,
1524,"09/23/09 00:00:00",0,
1525,"09/24/09 00:00:00",0,
1526,"09/25/09 00:00:00",0,
1527,"09/26/09 00:00:00",0,
1528,"09/28/09 00:00:00",0,
1529,"09/29/09 00:00:00",0,
1530,"09/30/09 00:00:00",0,
1531,"10/01/09 00:00:00",0,
1532,"10/02/09 00:00:00",0,
1533,"10/03/09 00:00:00",0,
1534,"10/05/09 00:00:00",0,
1535,"10/06/09 00:00:00",0,
1536,"10/07/09 00:00:00",0,
1537,"10/08/09 00:00:00",0,
1538,"10/09/09 00:00:00",0,
1539,"10/10/09 00:00:00",0,
1540,"10/12/09 00:00:00",0,
1541,"10/13/09 00:00:00",0,
1542,"10/14/09 00:00:00",0,
1543,"10/15/09 00:00:00",0,
1544,"10/16/09 00:00:00",0,
1545,"10/17/09 00:00:00",0,
1546,"10/19/09 00:00:00",0,
1547,"10/20/09 00:00:00",0,
1548,"10/21/09 00:00:00",0,
1549,"10/22/09 00:00:00",0,
1550,"10/23/09 00:00:00",0,
1551,"10/24/09 00:00:00",0,
1552,"10/26/09 00:00:00",0,
1553,"10/27/09 00:00:00",0,
1554,"10/29/09 00:00:00",0,
1555,"10/30/09 00:00:00",0,
1556,"10/31/09 00:00:00",0,
1557,"11/02/09 00:00:00",0,
1558,"11/03/09 00:00:00",0,
1559,"11/04/09 00:00:00",0,
1560,"11/05/09 00:00:00",0,
1561,"11/06/09 00:00:00",0,
1562,"11/07/09 00:00:00",0,
1563,"11/09/09 00:00:00",0,
1564,"11/10/09 00:00:00",0,
1565,"11/11/09 00:00:00",0,
1566,"11/12/09 00:00:00",0,
1567,"11/13/09 00:00:00",0,
1568,"11/14/09 00:00:00",0,
1569,"11/16/09 00:00:00",0,
1570,"11/17/09 00:00:00",0,
1571,"11/18/09 00:00:00",0,
1572,"11/19/09 00:00:00",0,
1573,"11/20/09 00:00:00",0,
1574,"11/21/09 00:00:00",0,
1575,"11/23/09 00:00:00",0,
1576,"11/24/09 00:00:00",0,
1577,"11/25/09 00:00:00",0,
1578,"11/26/09 00:00:00",0,
1579,"11/27/09 00:00:00",0,
1580,"11/28/09 00:00:00",0,
1581,"11/30/09 00:00:00",0,
1582,"12/01/09 00:00:00",0,
1583,"12/02/09 00:00:00",0,
1584,"12/03/09 00:00:00",0,
1585,"12/04/09 00:00:00",0,
1586,"12/05/09 00:00:00",0,
1587,"12/07/09 00:00:00",0,
1588,"12/08/09 00:00:00",0,
1589,"12/09/09 00:00:00",0,
1590,"12/10/09 00:00:00",0,
1591,"12/11/09 00:00:00",0,
1592,"12/12/09 00:00:00",0,
1593,"12/14/09 00:00:00",0,
1594,"12/15/09 00:00:00",0,
1595,"12/16/09 00:00:00",0,
1596,"12/17/09 00:00:00",0,
1597,"12/18/09 00:00:00",0,
1598,"12/19/09 00:00:00",0,
1599,"12/20/09 00:00:00",0,
1600,"12/21/09 00:00:00",0,
1601,"12/22/09 00:00:00",0,
1602,"12/23/09 00:00:00",0,
1603,"12/24/09 00:00:00",0,
1604,"12/28/09 00:00:00",0,
1605,"12/29/09 00:00:00",0,
1606,"12/30/09 00:00:00",0,
1607,"12/31/09 00:00:00",0,
1608,"01/04/10 00:00:00",0,
1609,"01/05/10 00:00:00",0,
1610,"01/07/10 00:00:00",0,
1611,"01/08/10 00:00:00",0,
1612,"01/09/10 00:00:00",0,
1613,"01/11/10 00:00:00",0,
1614,"01/12/10 00:00:00",0,
1615,"01/13/10 00:00:00",0,
1616,"01/14/10 00:00:00",0,
1617,"01/15/10 00:00:00",0,
1618,"01/16/10 00:00:00",0,
1619,"01/18/10 00:00:00",0,
1620,"01/19/10 00:00:00",0,
1621,"01/20/10 00:00:00",0,
1622,"01/21/10 00:00:00",0,
1623,"01/22/10 00:00:00",0,
1624,"01/23/10 00:00:00",0,
1625,"01/25/10 00:00:00",0,
1626,"01/26/10 00:00:00",0,
1627,"01/27/10 00:00:00",0,
1628,"01/28/10 00:00:00",0,
1629,"01/29/10 00:00:00",0,
1630,"01/30/10 00:00:00",0,
1631,"02/01/10 00:00:00",0,
1632,"02/02/10 00:00:00",0,
1633,"02/03/10 00:00:00",0,
1634,"02/04/10 00:00:00",0,
1635,"02/05/10 00:00:00",0,
1636,"02/06/10 00:00:00",0,
1637,"02/08/10 00:00:00",0,
1638,"02/09/10 00:00:00",0,
1639,"02/10/10 00:00:00",0,
1640,"02/11/10 00:00:00",0,
1641,"02/12/10 00:00:00",0,
1642,"02/13/10 00:00:00",0,
1643,"02/15/10 00:00:00",0,
1644,"02/16/10 00:00:00",0,
1645,"02/17/10 00:00:00",0,
1646,"02/18/10 00:00:00",0,
1647,"02/19/10 00:00:00",0,
1648,"02/20/10 00:00:00",0,
1649,"02/22/10 00:00:00",0,
1650,"02/23/10 00:00:00",0,
1651,"02/24/10 00:00:00",0,
1652,"02/25/10 00:00:00",0,
1660,"03/08/10 00:00:00",0,
1661,"03/09/10 00:00:00",0,
1662,"03/10/10 00:00:00",0,
1663,"02/26/10 00:00:00",0,
1666,"02/27/10 00:00:00",0,
1667,"03/01/10 00:00:00",0,
1668,"03/02/10 00:00:00",0,
1669,"03/03/10 00:00:00",0,
1670,"03/04/10 00:00:00",0,
1672,"03/05/10 00:00:00",0,
1673,"03/06/10 00:00:00",0,
1674,"03/11/10 00:00:00",0,
1675,"03/12/10 00:00:00",0,
1676,"03/13/10 00:00:00",0,
1677,"03/15/10 00:00:00",0,
1678,"03/16/10 00:00:00",0,
1679,"03/17/10 00:00:00",0,
1680,"03/18/10 00:00:00",0,
1681,"03/19/10 00:00:00",0,
1682,"03/20/10 00:00:00",0,
1683,"03/22/10 00:00:00",0,
1684,"03/23/10 00:00:00",0,
1685,"03/24/10 00:00:00",0,
1688,"03/26/10 00:00:00",0,
1689,"03/27/10 00:00:00",0,
1690,"03/29/10 00:00:00",0,
1691,"03/30/10 00:00:00",0,
1692,"03/31/10 00:00:00",0,
1693,"04/01/10 00:00:00",0,
1694,"04/02/10 00:00:00",0,
1695,"04/03/10 00:00:00",0,
1696,"04/06/10 00:00:00",0,
1697,"04/07/10 00:00:00",0,
1698,"04/08/10 00:00:00",0,
1699,"04/09/10 00:00:00",0,
1700,"04/10/10 00:00:00",0,
1701,"04/12/10 00:00:00",0,
1702,"04/13/10 00:00:00",0,
1703,"04/14/10 00:00:00",0,
1704,"04/15/10 00:00:00",0,
1705,"04/16/10 00:00:00",0,
1706,"04/17/10 00:00:00",0,
1707,"04/19/10 00:00:00",0,
1708,"04/20/10 00:00:00",0,
1709,"04/21/10 00:00:00",0,
1710,"04/22/10 00:00:00",0,
1711,"04/23/10 00:00:00",0,
1712,"04/24/10 00:00:00",0,
1713,"04/26/10 00:00:00",0,
1714,"04/27/10 00:00:00",0,
1715,"04/28/10 00:00:00",0,
1716,"04/29/10 00:00:00",0,
1717,"04/30/10 00:00:00",0,
1718,"05/03/10 00:00:00",0,
1719,"05/04/10 00:00:00",0,
1720,"05/05/10 00:00:00",0,
1721,"05/06/10 00:00:00",0,
1722,"05/07/10 00:00:00",0,
1723,"05/08/10 00:00:00",0,
1724,"05/10/10 00:00:00",0,
1725,"05/11/10 00:00:00",0,
1726,"05/12/10 00:00:00",0,
1727,"05/13/10 00:00:00",0,
1728,"05/14/10 00:00:00",0,
1729,"05/15/10 00:00:00",0,
1730,"05/17/10 00:00:00",0,
1731,"05/18/10 00:00:00",0,
1732,"05/19/10 00:00:00",0,
1733,"05/20/10 00:00:00",0,
1734,"05/21/10 00:00:00",0,
1735,"05/22/10 00:00:00",0,
1736,"05/25/10 00:00:00",0,
1737,"05/26/10 00:00:00",0,
1738,"05/27/10 00:00:00",0,
1739,"05/28/10 00:00:00",0,
1740,"05/29/10 00:00:00",0,
1741,"05/31/10 00:00:00",0,
1742,"06/01/10 00:00:00",0,
1743,"06/02/10 00:00:00",0,
1744,"06/03/10 00:00:00",0,
1745,"06/04/10 00:00:00",0,
