IDStoreControl,IDMarketer,Date,NoApod,Incam
352,880,"01/09/06 00:00:00",482,869.9000
353,890,"01/10/06 00:00:00",191,341.5000
354,879,"01/10/06 00:00:00",418,904.0000
355,880,"01/10/06 00:00:00",455,847.3400
356,879,"01/11/06 00:00:00",443,878.0000
357,890,"01/11/06 00:00:00",207,347.5500
358,880,"01/11/06 00:00:00",479,931.6500
359,890,"01/12/06 00:00:00",193,347.9500
360,879,"01/12/06 00:00:00",417,881.0000
361,880,"01/12/06 00:00:00",514,990.8500
362,890,"01/13/06 00:00:00",217,354.2000
363,879,"01/13/06 00:00:00",459,992.2000
364,880,"01/13/06 00:00:00",488,890.6000
365,890,"01/14/06 00:00:00",273,606.0000
366,880,"01/14/06 00:00:00",755,1789.0000
367,879,"01/14/06 00:00:00",518,1280.0000
368,879,"01/16/06 00:00:00",411,1101.0000
369,890,"01/16/06 00:00:00",210,362.3000
370,880,"01/16/06 00:00:00",461,909.4500
371,879,"01/17/06 00:00:00",363,875.9500
372,890,"01/17/06 00:00:00",217,406.5500
373,880,"01/17/06 00:00:00",474,916.7000
374,890,"01/18/06 00:00:00",222,373.7500
375,879,"01/18/06 00:00:00",350,813.0000
376,880,"01/18/06 00:00:00",470,913.4000
377,890,"01/19/06 00:00:00",220,354.4000
378,879,"01/19/06 00:00:00",329,728.3500
379,880,"01/19/06 00:00:00",478,938.8500
380,890,"01/20/06 00:00:00",225,396.8400
381,879,"01/20/06 00:00:00",364,874.0000
382,880,"01/20/06 00:00:00",495,1000.0000
383,890,"01/21/06 00:00:00",271,631.0000
384,880,"01/21/06 00:00:00",712,1664.0000
385,879,"01/21/06 00:00:00",460,1252.0000
386,879,"01/23/06 00:00:00",338,822.0000
387,890,"01/23/06 00:00:00",210,364.8000
388,880,"01/23/06 00:00:00",,922.4700
389,890,"01/24/06 00:00:00",189,432.8500
390,879,"01/24/06 00:00:00",306,719.0000
391,880,"01/24/06 00:00:00",386,839.2000
392,880,"01/25/06 00:00:00",396,837.5500
393,890,"01/25/06 00:00:00",186,335.0000
394,879,"01/25/06 00:00:00",304,997.5000
395,890,"01/26/06 00:00:00",190,374.6500
396,879,"01/26/06 00:00:00",313,766.9000
397,880,"01/26/06 00:00:00",433,920.6500
398,879,"01/27/06 00:00:00",361,853.0000
399,890,"01/27/06 00:00:00",197,376.2500
400,880,"01/27/06 00:00:00",454,929.5500
401,880,"01/28/06 00:00:00",748,1785.4500
402,890,"01/28/06 00:00:00",246,620.1000
403,879,"01/28/06 00:00:00",491,1295.0000
404,890,"01/30/06 00:00:00",215,379.0000
405,879,"01/30/06 00:00:00",352,826.0000
406,880,"01/30/06 00:00:00",441,877.5500
407,880,"01/30/06 00:00:00",,0.0000
408,890,"01/31/06 00:00:00",194,344.3000
409,879,"01/31/06 00:00:00",331,745.0000
410,879,"02/01/06 00:00:00",407,947.0000
411,880,"01/31/06 00:00:00",473,906.5500
412,890,"02/01/06 00:00:00",221,376.9000
413,880,"02/01/06 00:00:00",464,963.8000
414,890,"02/02/06 00:00:00",221,410.6500
415,879,"02/02/06 00:00:00",396,1076.5500
416,880,"02/02/06 00:00:00",473,940.4500
417,880,"02/03/06 00:00:00",470,963.2500
418,890,"02/03/06 00:00:00",218,391.7000
419,879,"02/03/06 00:00:00",342,1072.8000
420,890,"02/04/06 00:00:00",263,628.2000
421,879,"02/04/06 00:00:00",526,1711.5000
422,880,"02/04/06 00:00:00",737,1750.3500
423,890,"06/01/06 00:00:00",188,388.8500
424,879,"02/06/06 00:00:00",472,1035.7000
425,880,"02/06/06 00:00:00",398,945.2000
426,890,"02/07/06 00:00:00",186,379.8000
427,879,"02/07/06 00:00:00",331,920.2500
428,880,"02/07/06 00:00:00",374,728.9000
429,879,"02/08/06 00:00:00",403,1032.8000
430,890,"02/08/06 00:00:00",194,374.7500
431,880,"02/08/06 00:00:00",467,961.9000
432,890,"02/09/06 00:00:00",212,389.0500
433,879,"02/09/06 00:00:00",396,1130.0000
434,880,"02/09/06 00:00:00",488,1249.8500
435,879,"02/10/06 00:00:00",369,1121.9000
436,890,"02/10/06 00:00:00",206,378.8500
437,880,"02/10/06 00:00:00",468,949.1000
438,879,"02/11/06 00:00:00",512,1678.0000
439,880,"02/11/06 00:00:00",735,1765.0500
440,890,"02/11/06 00:00:00",264,634.8000
441,879,"02/13/06 00:00:00",346,1072.3000
442,890,"02/13/06 00:00:00",207,357.5000
443,880,"02/13/06 00:00:00",466,924.0000
444,890,"02/14/06 00:00:00",226,408.6500
445,879,"02/14/06 00:00:00",389,1031.1000
446,880,"02/14/06 00:00:00",484,979.6500
447,879,"02/15/06 00:00:00",352,156.5000
448,890,"02/15/06 00:00:00",201,349.9000
449,880,"02/15/06 00:00:00",483,951.1500
450,879,"02/16/06 00:00:00",395,1078.7000
451,880,"02/16/06 00:00:00",496,1014.5000
452,890,"02/16/06 00:00:00",228,407.4000
453,879,"02/17/06 00:00:00",360,1114.9000
454,880,"02/17/06 00:00:00",512,1018.2000
455,890,"02/17/06 00:00:00",212,393.6000
456,890,"02/18/06 00:00:00",271,616.7000
457,879,"02/18/06 00:00:00",474,1708.0000
458,880,"02/18/06 00:00:00",757,1816.2500
459,879,"02/20/06 00:00:00",347,1019.1500
460,890,"02/20/06 00:00:00",210,385.8500
461,880,"02/20/06 00:00:00",491,986.5000
462,890,"02/21/06 00:00:00",213,383.1000
463,879,"02/21/06 00:00:00",357,1080.5500
464,880,"02/21/06 00:00:00",484,904.4500
465,879,"02/22/06 00:00:00",365,1146.1000
466,890,"02/22/06 00:00:00",217,375.9000
467,880,"02/22/06 00:00:00",487,937.3000
468,890,"02/23/06 00:00:00",226,388.6000
469,880,"02/23/06 00:00:00",506,995.3000
470,879,"02/23/06 00:00:00",368,869.1500
471,880,"02/24/06 00:00:00",424,925.7600
472,890,"02/24/06 00:00:00",223,430.2500
473,879,"02/24/06 00:00:00",312,1096.5000
474,879,"02/25/06 00:00:00",461,1675.4000
475,890,"02/25/06 00:00:00",268,626.5000
476,880,"02/25/06 00:00:00",728,1816.6500
477,890,"02/27/06 00:00:00",207,375.7000
478,879,"02/27/06 00:00:00",330,751.0000
479,880,"02/27/06 00:00:00",441,836.7800
480,890,"02/28/06 00:00:00",194,564.1000
481,879,"02/28/06 00:00:00",343,709.0000
482,880,"02/28/06 00:00:00",456,909.3000
483,890,"03/01/06 00:00:00",191,378.0000
484,879,"03/01/06 00:00:00",376,1107.7500
485,880,"03/01/06 00:00:00",505,954.1500
486,890,"03/02/06 00:00:00",226,389.1000
487,879,"03/02/06 00:00:00",342,874.6500
488,880,"03/02/06 00:00:00",490,1078.9500
489,890,"03/03/06 00:00:00",209,447.8000
490,879,"03/03/06 00:00:00",326,1183.4000
491,880,"03/03/06 00:00:00",485,1093.9500
492,890,"03/04/06 00:00:00",273,696.5500
493,880,"03/04/06 00:00:00",548,1465.5800
494,879,"03/04/06 00:00:00",403,1148.9500
495,890,"03/06/06 00:00:00",213,800.0000
496,880,"03/06/06 00:00:00",386,1561.1500
497,879,"03/06/06 00:00:00",262,1172.6500
498,890,"03/07/06 00:00:00",180,326.9000
499,879,"03/07/06 00:00:00",272,983.1000
500,880,"03/07/06 00:00:00",412,803.3000
501,890,"03/08/06 00:00:00",213,407.3000
502,879,"03/08/06 00:00:00",336,1018.0000
503,880,"03/08/06 00:00:00",492,966.3000
504,890,"03/09/06 00:00:00",224,404.4500
505,879,"03/09/06 00:00:00",340,1102.1000
506,880,"03/09/06 00:00:00",527,1028.9500
507,879,"03/10/06 00:00:00",341,848.0000
508,890,"03/10/06 00:00:00",245,452.3000
509,880,"03/10/06 00:00:00",529,1094.1500
510,890,"03/11/06 00:00:00",269,781.2000
511,879,"03/11/06 00:00:00",408,1178.8500
512,880,"03/11/06 00:00:00",766,1986.4000
513,879,"03/13/06 00:00:00",311,1056.1000
514,890,"03/13/06 00:00:00",220,396.8000
515,880,"03/13/06 00:00:00",515,986.3000
516,890,"03/14/06 00:00:00",211,388.8500
