IDC_FASH,IDSort,IDOperation,IDC_FASHQuantity,IDC_FASHLoose,IDC_FASHRecipe,IDC_FASHDelete
7115,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7116,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7116,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7117,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7117,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7118,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7118,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7119,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7119,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7120,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7120,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7121,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7121,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7122,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7122,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7123,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7123,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7124,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7124,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7125,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7125,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7127,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7127,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7128,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7128,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7129,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7129,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7130,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7130,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7131,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7131,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7132,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7132,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7133,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7133,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7134,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7134,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7135,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7135,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7136,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7136,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7137,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7137,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7138,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7138,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7139,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
